country,year,"GNI per capita, Atlas method (current US$)","Population, total",Surface area (sq. km),Population living in slums (% of urban population),hie,near_2_plus_oceans,border_count,size
Bangladesh,2004,490.0,142902856.0,148460.0,57.02246,False,False,2.0,large
Belgium,2004,32910.0,10421137.0,30528.0,0.0,True,False,4.0,medium
Belize,2004,5000.0,271688.0,22970.0,15.75733,False,False,2.0,small
Benin,2004,690.0,8159094.0,114760.0,71.07914,False,False,4.0,medium
Bhutan,2004,1090.0,650544.0,38394.0,55.97413,False,False,2.0,small
Bolivia,2004,940.0,9204287.0,1098580.0,53.41721,False,False,5.0,medium
Bosnia And Herzegovina,2004,2360.0,4140987.0,51210.0,5.1,False,False,3.0,medium
Botswana,2004,3830.0,1807146.0,581730.0,54.44714,False,False,4.0,small
Brazil,2004,3370.0,182675143.0,8515770.0,28.12555,False,False,10.0,large
Brunei,2004,22190.0,352911.0,5770.0,34.12692,True,False,1.0,small
Bulgaria,2004,3060.0,7716860.0,111000.0,0.1,False,False,5.0,medium
Burkina Faso,2004,370.0,13500533.0,274220.0,71.07927,False,False,6.0,large
Burundi,2004,120.0,7310656.0,27830.0,77.04306,False,False,3.0,medium
Cabo Verde,2004,1810.0,479370.0,4030.0,66.26286,False,False,0.0,small
Cambodia,2004,430.0,13244731.0,181040.0,73.6,False,False,3.0,large
Cameroon,2004,1030.0,16610487.0,475440.0,58.8254,False,False,6.0,large
Canada,2004,29530.0,31938807.0,15640500.0,0.25,True,True,1.0,large
Central African Republic,2004,290.0,4192826.0,622980.0,80.28114,False,False,6.0,medium
Chad,2004,330.0,9920036.0,1284000.0,89.32919,False,False,6.0,medium
Chile,2004,5200.0,16187322.0,756096.0,7.324,False,True,3.0,large
Colombia,2004,2650.0,41543171.0,1141750.0,18.48794,False,True,5.0,large
Comoros,2004,980.0,580704.0,1861.0,65.67836,False,False,0.0,small
Congo Dem. Rep,2004,180.0,56997741.0,2344860.0,71.91424,False,False,9.0,large
Costa Rica,2004,4400.0,4200078.0,51100.0,10.86589,False,True,2.0,medium
Cote D'Ivoire,2004,710.0,19595000.0,322460.0,63.9953,False,False,5.0,large
Croatia,2004,8570.0,4304600.0,56590.0,0.4,False,False,5.0,medium
Cuba,2004,3490.0,11238756.0,109890.0,2.15371,False,False,0.0,medium
Cyprus,2004,20260.0,1017875.0,9250.0,0.2,True,False,0.0,small
Czechia,2004,10280.0,10197101.0,78870.0,0.05,True,False,4.0,medium
Denmark,2004,42740.0,5404523.0,42920.0,0.0,True,False,1.0,medium
Dominican Republic,2004,2520.0,9104892.0,48670.0,25.42881,False,False,1.0,medium
Ecuador,2004,2410.0,13608701.0,256370.0,57.8,False,False,2.0,large
Egypt,2004,1120.0,79477443.0,1001450.0,31.20583,False,True,4.0,large
El Salvador,2004,2280.0,6004671.0,21040.0,49.5,False,False,2.0,medium
Equatorial Guinea,2004,1370.0,899917.0,28050.0,58.82956,False,False,2.0,small
Eritrea,2004,350.0,2598284.0,121690.86,72.35662,False,False,3.0,small
